populationSize, numKillRatio, mutationChance, mutationScale, numIterations, crossoverType, realCost1, realCost2, realCost3, averageCost, runTime
100, 10, 0.8, 1, 1000, 2, 8.29262165175, 8.18175233291, 9.35982480501, 8.61139959656, 22.351752
100, 10, 0.8, 2, 100, 1, 4.13302441979, 4.18951623287, 5.53252807499, 4.61835624255, 2.242018
100, 10, 0.8, 2, 100, 2, 6.22424338035, 6.51444660608, 5.74260265901, 6.16043088181, 2.24236833333
100, 10, 0.8, 2, 1000, 1, 16.126463166, 11.7380148663, 13.3410720023, 13.7351833449, 22.336024
100, 10, 0.8, 2, 1000, 2, 11.7503937265, 18.0066492071, 13.1424419344, 14.2998282893, 22.314606
100, 3, 0.3, 0.5, 100, 1, 3.01921722497, 3.33531351666, 3.25271143081, 3.20241405748, 2.24927966667
100, 3, 0.3, 0.5, 100, 2, 2.99742348135, 3.55798560395, 3.23950125177, 3.26497011235, 2.25262933333
100, 3, 0.3, 0.5, 1000, 1, 3.27601489787, 3.53666333731, 4.18751299513, 3.6667304101, 22.2709373333
100, 3, 0.3, 0.5, 1000, 2, 3.45554507622, 3.24734970434, 3.42377647588, 3.37555708548, 22.334769
100, 3, 0.3, 1, 100, 1, 3.30189964792, 3.51598194188, 3.59788470909, 3.47192209963, 2.248083
100, 3, 0.3, 1, 100, 2, 3.78322056256, 3.70370971105, 3.30185445805, 3.59626157722, 2.254191
100, 3, 0.3, 1, 1000, 1, 5.67055817566, 6.10888171948, 6.15831304644, 5.97925098053, 22.3103916667
100, 3, 0.3, 1, 1000, 2, 4.66944306854, 3.37267847874, 4.74751196951, 4.26321117226, 22.3370553333
100, 3, 0.3, 2, 100, 1, 3.8949525649, 4.51613076904, 3.91399008952, 4.10835780782, 2.24713833333
100, 3, 0.3, 2, 100, 2, 4.0738264431, 3.99103087515, 4.11727683788, 4.06071138538, 2.25127066667
100, 3, 0.3, 2, 1000, 1, 6.4117720751, 15.6600722951, 8.17869094203, 10.0835117708, 22.315746
100, 3, 0.3, 2, 1000, 2, 6.59594850978, 8.26347468127, 8.2805575366, 7.71332690922, 22.3680106667
100, 3, 0.5, 0.5, 100, 1, 3.23037166672, 3.26949366279, 3.45447594443, 3.31811375798, 2.24735833333
100, 3, 0.5, 0.5, 100, 2, 3.29448801529, 3.45180068447, 3.10189047718, 3.28272639231, 2.25373433333
100, 3, 0.5, 0.5, 1000, 1, 3.1161290233, 5.1087131421, 3.39115013103, 3.87199743214, 22.3190856667
100, 3, 0.5, 0.5, 1000, 2, 3.93147981016, 4.49322329508, 4.96006517609, 4.46158942711, 22.3732453333
100, 3, 0.5, 1, 100, 1, 2.98030300039, 3.64075669306, 3.5580493052, 3.39303633288, 2.24702566667
100, 3, 0.5, 1, 100, 2, 3.69743167176, 2.56992370841, 3.86949173386, 3.37894903801, 2.24911933333
100, 3, 0.5, 1, 1000, 1, 4.79226839609, 7.0322280705, 5.87317565812, 5.89922404157, 22.329698
100, 3, 0.5, 1, 1000, 2, 4.68652570001, 4.683110791, 4.11702353645, 4.49555334249, 22.3689886667
100, 3, 0.5, 2, 100, 1, 3.97675520184, 5.45524416538, 3.95000861991, 4.46066932905, 2.24592666667
100, 3, 0.5, 2, 100, 2, 5.22231681603, 4.15555152971, 4.23806358765, 4.5386439778, 2.24968666667
100, 3, 0.5, 2, 1000, 1, 6.76336961347, 14.3516419829, 16.7195972922, 12.6115362962, 22.350227
100, 3, 0.5, 2, 1000, 2, 13.6093640583, 14.8586415907, 11.1549271068, 13.2076442519, 22.391775
100, 3, 0.8, 0.5, 100, 1, 3.07590125573, 3.24434722766, 2.92916625795, 3.08313824712, 2.25562166667
100, 3, 0.8, 0.5, 100, 2, 3.39440743474, 2.90171273976, 2.68684572504, 2.99432196652, 2.25587133333
100, 3, 0.8, 0.5, 1000, 1, 4.55274913829, 3.38140456447, 3.71143645391, 3.88186338556, 22.4045196667
100, 3, 0.8, 0.5, 1000, 2, 4.25774598763, 3.70230699107, 3.66600109143, 3.87535135671, 22.4471186667
100, 3, 0.8, 1, 100, 1, 3.82207202581, 3.70367586443, 2.53920278436, 3.3549835582, 2.249008
100, 3, 0.8, 1, 100, 2, 3.30374229544, 3.98006455542, 4.02011467523, 3.76797384203, 2.254963
100, 3, 0.8, 1, 1000, 1, 8.92784949052, 9.64264333753, 6.29705279289, 8.28918187365, 22.419387
100, 3, 0.8, 1, 1000, 2, 9.15146842562, 10.0546810172, 6.7902347458, 8.6654613962, 22.4470573333
100, 3, 0.8, 2, 100, 1, 5.11759531088, 5.43992525076, 5.7366016746, 5.43137407875, 2.24637366667
100, 3, 0.8, 2, 100, 2, 6.13461487521, 4.0097415183, 4.17151452449, 4.77195697267, 2.248566
100, 3, 0.8, 2, 1000, 1, 9.03302168554, 8.48791465698, 16.9359976603, 11.4856446676, 22.4665786667
100, 3, 0.8, 2, 1000, 2, 11.766341336, 10.9855710665, 20.9557502052, 14.5692208692, 22.4493933333
100, 2, 0.3, 0.5, 100, 1, 3.25307092502, 3.102374471, 3.33535440643, 3.23026660082, 2.25266533333
100, 2, 0.3, 0.5, 100, 2, 3.73527815352, 3.38296231768, 3.36486749915, 3.49436932345, 2.258331
100, 2, 0.3, 0.5, 1000, 1, 3.42668804413, 2.89867554541, 3.83314143902, 3.38616834286, 22.376268
100, 2, 0.3, 0.5, 1000, 2, 3.94194340069, 4.45249351983, 3.42696738322, 3.94046810124, 22.4177213333
100, 2, 0.3, 1, 100, 1, 3.70499526008, 3.59043035563, 2.90438397572, 3.39993653047, 2.254646
